company_id,company_name,sector,financial_year,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow,capex,dividend_paid,share_buyback,debt_change,capital_allocation_label
ABB,Abbott India Ltd,Industrials,Dec 2012,101.0,-59.0,-42.0,42.0,59.0,36.25,0,,Shareholder Returns
ABB,Abbott India Ltd,Industrials,Mar 2014,155.0,-144.0,-42.0,11.0,144.0,49.5,0,,Shareholder Returns
ABB,Abbott India Ltd,Industrials,Mar 2014,0.0,0.0,0.0,0.0,0.0,49.5,0,,Mixed Strategy
ABB,Abbott India Ltd,Industrials,Mar 2015,215.0,-187.0,-58.0,28.0,187.0,66.41,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2015,-35.0,-1864.0,1902.0,-1899.0,1864.0,66.41,0,,Distress
ABB,Abbott India Ltd,Industrials,Mar 2016,249.0,-77.0,-80.0,172.0,77.0,73.95,0,,Shareholder Returns
ABB,Abbott India Ltd,Industrials,Mar 2016,1544.0,-816.0,-722.0,728.0,816.0,73.95,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2017,307.0,-155.0,-90.0,152.0,155.0,85.87,0,,Shareholder Returns
ABB,Abbott India Ltd,Industrials,Mar 2017,2189.0,-1730.0,-455.0,459.0,1730.0,85.87,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2018,153.0,-215.0,-102.0,-62.0,215.0,116.29,0,,Shareholder Returns
ABB,Abbott India Ltd,Industrials,Mar 2018,2198.0,-3192.0,1589.0,-994.0,3192.0,116.29,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2019,499.0,-257.0,-143.0,242.0,257.0,139.5,0,,Shareholder Returns
ABB,Abbott India Ltd,Industrials,Mar 2019,2591.0,-3050.0,38.0,-459.0,3050.0,139.5,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2020,626.0,-401.0,-217.0,225.0,401.0,533.7,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2020,5437.0,-5643.0,1250.0,-206.0,5643.0,533.7,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2021,727.0,-72.0,-582.0,655.0,72.0,587.35,0,,Shareholder Returns
ABB,Abbott India Ltd,Industrials,Mar 2021,3784.0,-4009.0,-745.0,-225.0,4009.0,587.35,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2022,948.0,-396.0,-637.0,552.0,396.0,583.27,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2022,4097.0,-3936.0,-235.0,161.0,3936.0,583.27,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2023,893.0,-148.0,-639.0,745.0,148.0,692.77,0,,Shareholder Returns
ABB,Abbott India Ltd,Industrials,Mar 2023,3777.0,-4699.0,923.0,-922.0,4699.0,692.77,0,,Capital Intensive
ABB,Abbott India Ltd,Industrials,Mar 2024,1213.0,-416.0,-745.0,797.0,416.0,876.73,0,,Shareholder Returns
ABB,Abbott India Ltd,Industrials,Mar 2024,6038.0,-4943.0,-543.0,1095.0,4943.0,876.73,0,,Capital Intensive
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2014,0.0,0.0,0.0,0.0,0.0,0.0,0,,Mixed Strategy
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2015,-35.0,-1864.0,1902.0,-1899.0,1864.0,-0.0,0,,Distress
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2016,1544.0,-816.0,-722.0,728.0,816.0,0.0,0,,Capital Intensive
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2017,2189.0,-1730.0,-455.0,459.0,1730.0,0.0,0,,Capital Intensive
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2018,2198.0,-3192.0,1589.0,-994.0,3192.0,0.0,0,,Capital Intensive
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2019,2591.0,-3050.0,38.0,-459.0,3050.0,0.0,0,,Capital Intensive
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2020,5437.0,-5643.0,1250.0,-206.0,5643.0,0.0,0,,Capital Intensive
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2021,3784.0,-4009.0,-745.0,-225.0,4009.0,0.0,0,,Capital Intensive
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2022,4097.0,-3936.0,-235.0,161.0,3936.0,0.0,0,,Capital Intensive
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2023,3777.0,-4699.0,923.0,-922.0,4699.0,0.0,0,,Capital Intensive
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Mar 2024,6038.0,-4943.0,-543.0,1095.0,4943.0,0.0,0,,Capital Intensive
ADANIENT,Adani Enterprises Ltd,Industrials,Mar 2013,7666.0,-14790.0,7199.0,-7124.0,14790.0,121.8,0,,Capital Intensive
