Table,Rows in,Rows loaded,Rejected,Runtime (s),Timestamp
companies,92,92,0,0.33,2026-06-22 19:43:17
profitandloss,1276,1276,0,0.22,2026-06-22 19:43:17
balancesheet,1312,1312,0,0.2,2026-06-22 19:43:17
cashflow,1187,1187,0,0.13,2026-06-22 19:43:17
analysis,20,20,0,0.04,2026-06-22 19:43:18
documents,1585,1585,0,0.13,2026-06-22 19:43:18
prosandcons,16,16,0,0.04,2026-06-22 19:43:18
sectors,92,92,0,0.04,2026-06-22 19:43:18
stock_prices,5520,5520,0,0.56,2026-06-22 19:43:18
market_cap,552,552,0,0.08,2026-06-22 19:43:18
financial_ratios,1184,1184,0,0.21,2026-06-22 19:43:19
peer_groups,56,56,0,0.04,2026-06-22 19:43:19
